Name,Quantity,Cost (CAD) incl. shipping,Cost (USD),Link
ESP32-S3 N16R8,1,$20.76,$14.91,https://www.aliexpress.com/item/1005004815894336.html?mp=1&pdp_npi=6@dis!CAD!CAD%2012.97!CAD%2011.28!!CAD%2011.28!!!@21032f3717681373265423786e951e!12000047860837461!ct!CA!2406727253!!1!0!
3.5in IPS Touch Display,1,$28.08,$20.17,https://www.aliexpress.com/item/1005006112241357.html?mp=1&pdp_npi=6@dis!CAD!CAD%2021.24!CAD%2018.48!!CAD%2018.11!!!@21032f3717681373265423786e951e!12000035809907630!ct!CA!2406727253!!1!0!
EC11E Encoder,1,$6.41,$4.61,https://www.aliexpress.com/item/1005007644083514.html?mp=1&pdp_npi=6@dis!CAD!CAD%203.59!CAD%203.59!!CAD%203.59!!!@21032f3717681373265423786e951e!12000041630839428!ct!CA!2406727253!!1!0!
PCB,1,$84.88,$61.25,JLCPCB
M3x5mm screws, 6,,,already have
M3 5mm wide heatset inserts, 6,$7.20,$5.20, https://www.aliexpress.com/item/1005006838108683.html?spm=a2g0o.productlist.main.13.44646441JzlI4Y&algo_pvid=b475781c-f9e8-4974-ae57-74cfd35b5ca6&algo_exp_id=b475781c-f9e8-4974-ae57-74cfd35b5ca6-12&pdp_ext_f=%7B%22order%22%3A%223332%22%2C%22spu_best_type%22%3A%22order%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%214.84%214.39%21%21%2123.72%2121.51%21%402103119c17685094607302273e282c%2112000038467725083%21sea%21CA%212406727253%21X%211%210%21n_tag%3A-29919%3Bd%3A8d9e3cf9%3Bm03_new_user%3A-29895&curPageLogUid=nqhrvDMGyt7B&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006838108683%7C_p_origin_prod%3A
3d printed case,1,,,by me
,,Total,$107.87,



