Designator,Footprint,Quantity,Value,LCSC Part #
BOOT1,SW_SPST_CK_KMS2xxG,1,BOOT,C221784
"C1, C12, C13, C18, C4, C6, C8",0402,7,0.1uF, C1525
"C10, C15, C7",0402,3,1uF,C52923
"C11, C19",0402,2,10uF,C15525
"C14, C16, C2, C5, C9",0402,5,2.2uF,C12530
C17,0603,1,1uF,C15849
C3,0402,1,22uF,C415703
F1,FUSC1608X100N,1,0603L100SLYR,C207017
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P, C165948
J2,CUI_SJ-3523-SMT-TR,1,AudioJack3_Ground,C4991872
J3,TE_1-1734839-4_1x14-1MP_P0.5mm_Horizontal,1,ST7796,
L1,0805,1,2.2uH,C1043
PS1,SON50P200X200X80-9N,1,TPS62162DSGR,C40256
"R1, R2, R3, R4, R5",0603,5,10k,C25804
"R10, R9",0603,2,27ohm,C25190
"R11, R7",0603,2,10ohm,C22859
"R12, R13",0603,2,4.7k,C23162
"R14, R8",0402,2,5.1k,C25905
R6,0603,1,100k,C25803
RESET1,SW_SPST_CK_KMS2xxG,1,RESET,C221784
U1,RHB32_3P45X3P45_TEX,1,PCM5242RHBR,
U2,WQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm_ThermalVias,1,TPA6132A2RTER,TPA6132A2RTER
U3,EC11E18244A5_ALPS,1,EC11E18244A5,
U4,XCVR_ESP32-S3-WROOM-1-N4,1,ESP32-S3-WROOM-1-N16R8,
U5,SOT-23-6,1,USBLC6-2SC6,
