Designator,Mid X,Mid Y,Rotation,Layer
BOOT1,127.8,-99.275,180.0,top
C1,148.5,-98.925,90.0,top
C10,157.4,-103.525,0.0,top
C11,166.2,-103.725,180.0,top
C12,157.4,-104.525,0.0,top
C13,166.2,-104.725,180.0,top
C14,156.2,-106.425,90.0,top
C15,153.2,-109.225,180.0,top
C16,154.7,-109.225,270.0,top
C17,151.1,-109.625,90.0,top
C18,173.3,-117.425,180.0,top
C19,145.35,-121.385,270.0,top
C2,149.6,-98.925,90.0,top
C3,162.1,-99.425,0.0,top
C4,136.7,-100.225,180.0,top
C5,147.29,-100.905,270.0,top
C6,148.51,-100.905,270.0,top
C7,149.6,-100.925,90.0,top
C8,158.1,-101.425,90.0,top
C9,149.7,-103.025,270.0,top
F1,172.6,-118.925,0.0,top
J1,180.6,-122.425,90.0,top
J2,153.7,-122.775,90.0,top
J3,133.84,-92.145,180.0,bottom
L1,160.1,-101.425,270.0,top
PS1,163.6,-101.425,180.0,top
R1,170.4,-91.415,180.0,top
R10,166.7,-123.175,0.0,top
R11,146.9,-125.025,270.0,top
R12,121.75,-125.625,270.0,top
R13,123.5,-125.625,270.0,top
R14,177.6,-128.425,0.0,top
R2,170.4,-93.025,180.0,top
R3,170.4,-94.625,180.0,top
R4,132.9,-98.825,180.0,top
R5,136.1,-98.825,0.0,top
R6,161.8,-104.125,180.0,top
R7,160.2,-113.225,270.0,top
R8,177.6,-116.425,0.0,top
R9,166.7,-121.425,0.0,top
RESET1,141.1,-99.225,180.0,top
U1,153.5496,-99.7,0.0,top
U2,153.45,-106.1625,270.0,top
U4,134.2,-116.685,180.0,top
U5,171.1,-122.375,0.0,top
