Designator,Mid X,Mid Y,Rotation,Layer
BOOT1,100.2,-166.55,180.0,top
C1,108.25,-164.5,180.0,top
C10,123.9,-144.7,90.0,top
C11,131.7,-149.3,0.0,top
C12,124.75,-153.475,90.0,top
C13,132.4,-147.2,90.0,top
C14,115.75,-151.0,270.0,top
C15,121.59,-146.68,270.0,top
C16,122.8,-144.7,90.0,top
C17,149.25,-162.25,0.0,top
C18,140.5,-149.5,180.0,top
C19,140.5,-150.5,180.0,top
C2,136.4,-145.2,0.0,top
C3,131.7,-150.3,0.0,top
C4,130.5,-152.2,90.0,top
C5,129.0,-155.0,270.0,top
C6,122.81,-146.68,270.0,top
C7,127.5,-155.0,180.0,top
C8,125.3,-149.7,270.0,top
C9,123.9,-146.7,90.0,top
F1,146.9,-164.7,0.0,top
J1,128.0,-168.55,90.0,top
J2,154.9,-168.2,90.0,top
L1,134.4,-147.2,270.0,top
PS1,137.9,-147.2,180.0,top
R1,119.5,-134.5,0.0,top
R10,134.5,-159.0,270.0,top
R11,121.5,-159.0,270.0,top
R12,144.7,-140.4,180.0,top
R13,151.9,-162.2,0.0,top
R14,151.9,-174.2,0.0,top
R2,119.5,-136.25,0.0,top
R3,144.7,-138.8,180.0,top
R4,144.7,-137.19,180.0,top
R5,107.75,-163.0,0.0,top
R6,89.25,-148.5,180.0,top
R7,96.0,-162.75,0.0,top
R8,89.25,-150.25,180.0,top
R9,136.1,-149.9,180.0,top
RESET1,113.5,-166.5,180.0,top
U1,104.6,-146.3,180.0,top
U2,127.75,-151.9375,270.0,top
U3,127.8496,-145.475,0.0,top
U5,145.4,-168.15,0.0,top
