Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"BOOT1","BOOT","SW_EVP-AWED4A",100.000000,-163.250000,180.000000,top
"C1","0.1uF","C_0402_1005Metric",108.250000,-164.500000,180.000000,top
"C2","0.1uF","C_0402_1005Metric",122.810000,-146.680000,-90.000000,top
"C3","22uF","C_0402_1005Metric",136.400000,-145.200000,0.000000,top
"C4","2.2uF","C_0402_1005Metric",130.500000,-152.200000,90.000000,top
"C5","2.2uF","C_0402_1005Metric",129.000000,-155.000000,-90.000000,top
"C6","1uF","C_0402_1005Metric",127.500000,-155.000000,180.000000,top
"C7","2.2uF","C_0402_1005Metric",125.300000,-149.700000,-90.000000,top
"C8","2.2uF","C_0402_1005Metric",123.900000,-144.700000,90.000000,top
"C9","0.1uF","C_0402_1005Metric",132.400000,-147.200000,90.000000,top
"C10","1uF","C_0402_1005Metric",131.700000,-149.300000,0.000000,top
"C11","1uF","C_0402_1005Metric",123.900000,-146.700000,90.000000,top
"C12","10uF","C_0402_1005Metric",115.750000,-151.000000,-90.000000,top
"C13","2.2uF","C_0402_1005Metric",121.590000,-146.680000,-90.000000,top
"C14","1.1uF","C_0402_1005Metric",124.900000,-153.300000,90.000000,top
"C15","0.1uF","C_0402_1005Metric",122.800000,-144.700000,90.000000,top
"C16","0.1uF","C_0402_1005Metric",131.700000,-150.300000,0.000000,top
"C17","0.1uF","C_0402_1005Metric",149.250000,-162.250000,0.000000,top
"C18","10uF","C_0402_1005Metric",140.500000,-149.500000,180.000000,top
"C19","0.1uF","C_0402_1005Metric",140.500000,-150.500000,180.000000,top
"F1","0603L100SLYR","FUSC1608X100N",146.900000,-164.700000,0.000000,top
"J2","AudioJack3_Ground","CUI_SJ-3523-SMT-TR",128.000000,-168.550000,90.000000,top
"J3","USB_C_Receptacle_USB2.0_16P","USB_C_Receptacle_HRO_TYPE-C-31-M-12",154.900000,-168.200000,90.000000,top
"L1","2.2uH","L_0805_2012Metric",134.400000,-147.200000,-90.000000,top
"PS1","TPS62162DSGR","SON50P200X200X80-9N",137.900000,-147.200000,180.000000,top
"R1","27ohm","R_0603_1608Metric",119.500000,-136.250000,0.000000,top
"R2","27ohm","R_0603_1608Metric",119.500000,-134.500000,0.000000,top
"R3","10k","R_0603_1608Metric",144.700000,-137.190000,180.000000,top
"R4","10k","R_0603_1608Metric",144.700000,-138.800000,180.000000,top
"R5","10k","R_0603_1608Metric",96.000000,-162.750000,0.000000,top
"R6","10k","R_0603_1608Metric",107.750000,-163.000000,0.000000,top
"R7","4.7k","R_0603_1608Metric",89.250000,-148.500000,180.000000,top
"R8","4.7k","R_0603_1608Metric",89.250000,-150.250000,180.000000,top
"R9","100k","R_0603_1608Metric",136.100000,-149.900000,180.000000,top
"R10","10ohm","R_0603_1608Metric",134.500000,-159.000000,-90.000000,top
"R11","10ohm","R_0603_1608Metric",121.500000,-159.000000,-90.000000,top
"R12","10k","R_0603_1608Metric",144.700000,-140.400000,180.000000,top
"R13","5.1k","R_0402_1005Metric",151.900000,-162.200000,0.000000,top
"R14","5.1k","R_0402_1005Metric",151.900000,-174.200000,0.000000,top
"RESET1","RESET","SW_EVP-AWED4A",112.000000,-163.250000,180.000000,top
"U1","ESP32-S3-WROOM-1-N4","XCVR_ESP32-S3-WROOM-1-N4",104.600000,-146.300000,180.000000,top
"U2","TPA6132A2RTER","WQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm_ThermalVias",127.750000,-151.937500,-90.000000,top
"U3","PCM5242RHBR","RHB32_3P45X3P45_TEX",127.849600,-145.475000,0.000000,top
"U5","USBLC6-2SC6","SOT-23-6",145.400000,-168.150000,180.000000,top
